;i;j;cor;p
39;user_name.carlitos;cvtd_timestamp.02.12.2011.13.32;-0.0427294080898277;2,15E+07
40;user_name.charles;cvtd_timestamp.02.12.2011.13.32;-0.0455371681204822;3,26E+06
41;user_name.eurico;cvtd_timestamp.02.12.2011.13.32;-0.0418372372535609;3,83E+07
42;user_name.jeremy;cvtd_timestamp.02.12.2011.13.32;-0.0444947743896015;6,66E+06
43;user_name.pedro;cvtd_timestamp.02.12.2011.13.32;-0.0382448416317217;3,47E+08
44;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.13.32;0.00211289380807199;0.797711423306888
45;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.13.32;0.00353594806647814;0.667968183820788
46;X;cvtd_timestamp.02.12.2011.13.33;-0.294884621984604;0
47;user_name.adelmo;cvtd_timestamp.02.12.2011.13.33;0.543268449582236;0
48;user_name.carlitos;cvtd_timestamp.02.12.2011.13.33;-0.117689483171745;0
49;user_name.charles;cvtd_timestamp.02.12.2011.13.33;-0.125422888375564;0
50;user_name.eurico;cvtd_timestamp.02.12.2011.13.33;-0.115232179658426;0
51;user_name.jeremy;cvtd_timestamp.02.12.2011.13.33;-0.122551826384934;0
52;user_name.pedro;cvtd_timestamp.02.12.2011.13.33;-0.105337654950902;0
53;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.13.33;0.00586423782935608;0.476847602318472
54;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.13.33;0.00214521605552183;0.794685584263289
55;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.13.33;-0.0260694783665878;0.00156173932370396
56;X;cvtd_timestamp.02.12.2011.13.34;0.0442707713649952;7,74E+06
57;user_name.adelmo;cvtd_timestamp.02.12.2011.13.34;0.548271264310324;0
58;user_name.carlitos;cvtd_timestamp.02.12.2011.13.34;-0.118773254335348;0
59;user_name.charles;cvtd_timestamp.02.12.2011.13.34;-0.126577874411818;0
60;user_name.eurico;cvtd_timestamp.02.12.2011.13.34;-0.116293322167232;0
61;user_name.jeremy;cvtd_timestamp.02.12.2011.13.34;-0.123680373574568;0
62;user_name.pedro;cvtd_timestamp.02.12.2011.13.34;-0.106307681412066;0
63;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.13.34;0.00599550326126634;0.467038638549889
64;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.13.34;0.00357639242534697;0.66440138578541
65;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.13.34;-0.0263095452624773;0.00141244073163604
66;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.13.34;-0.0724643032244976;0
67;X;cvtd_timestamp.02.12.2011.13.35;0.299266307010845;0
68;user_name.adelmo;cvtd_timestamp.02.12.2011.13.35;0.470782100226108;0
69;user_name.carlitos;cvtd_timestamp.02.12.2011.13.35;-0.101986600003599;0
70;user_name.charles;cvtd_timestamp.02.12.2011.13.35;-0.108688164849769;0
71;user_name.eurico;cvtd_timestamp.02.12.2011.13.35;-0.0998571656332018;0
72;user_name.jeremy;cvtd_timestamp.02.12.2011.13.35;-0.106200178303031;0
73;user_name.pedro;cvtd_timestamp.02.12.2011.13.35;-0.0912828316623453;0
74;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.13.35;0.00520841139541884;0.52750225164141
75;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.13.35;-0.00154038074949255;0.851770568338338
76;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.13.35;-0.0225911219152502;0.00612858128403238
77;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.13.35;-0.0622226607231804;4,17E+00
78;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.02.12.2011.13.35;-0.0627956526643213;2,44E+00
79;X;cvtd_timestamp.02.12.2011.14.56;-0.106491008592276;0
80;user_name.adelmo;cvtd_timestamp.02.12.2011.14.56;-0.0551912604971916;2,08E+03
81;user_name.carlitos;cvtd_timestamp.02.12.2011.14.56;-0.0491449992093507;2,44E+05
82;user_name.charles;cvtd_timestamp.02.12.2011.14.56;0.23906059658757;0
83;user_name.eurico;cvtd_timestamp.02.12.2011.14.56;-0.0481188737139831;5,20E+05
84;user_name.jeremy;cvtd_timestamp.02.12.2011.14.56;-0.0511754257770252;5,23E+04
85;user_name.pedro;cvtd_timestamp.02.12.2011.14.56;-0.0439870991847451;9,37E+06
86;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.14.56;0.0051744452714822;0.530198508019222
87;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.14.56;0.00050085223132132;0.951552643544185
88;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.14.56;-0.010886142577791;0.186631623717164
89;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.14.56;-0.0299836705207986;0.00027469856006046
90;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.02.12.2011.14.56;-0.0302597821716757;0.000241057447246673
91;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.02.12.2011.14.56;-0.0259830575309941;0.00161894951636343
92;X;cvtd_timestamp.02.12.2011.14.57;-0.160213999099221;0
93;user_name.adelmo;cvtd_timestamp.02.12.2011.14.57;-0.136358845130735;0
94;user_name.carlitos;cvtd_timestamp.02.12.2011.14.57;-0.121420588617992;0
95;user_name.charles;cvtd_timestamp.02.12.2011.14.57;0.590637477261537;0
96;user_name.eurico;cvtd_timestamp.02.12.2011.14.57;-0.118885381299894;0
97;user_name.jeremy;cvtd_timestamp.02.12.2011.14.57;-0.126437082522945;0
98;user_name.pedro;cvtd_timestamp.02.12.2011.14.57;-0.108677170831932;0
99;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.14.57;0.0128321764736832;0.119541056557889
100;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.14.57;-0.00641519177906145;0.43644013496714
101;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.14.57;-0.0268959581003161;0.00110134281517404
102;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.14.57;-0.0740794583809985;0
103;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.02.12.2011.14.57;-0.0747616364197236;0
104;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.02.12.2011.14.57;-0.0641953034950539;6,44E-01
105;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.02.12.2011.14.57;-0.0309342417474169;0.000174415584787146
106;X;cvtd_timestamp.02.12.2011.14.58;0.188679025283575;0
107;user_name.adelmo;cvtd_timestamp.02.12.2011.14.58;-0.133457154216053;0
108;user_name.carlitos;cvtd_timestamp.02.12.2011.14.58;-0.118836781029196;0
109;user_name.charles;cvtd_timestamp.02.12.2011.14.58;0.578068821374217;0
110;user_name.eurico;cvtd_timestamp.02.12.2011.14.58;-0.116355522452265;0
111;user_name.jeremy;cvtd_timestamp.02.12.2011.14.58;-0.123746524874969;0
112;user_name.pedro;cvtd_timestamp.02.12.2011.14.58;-0.106364540808305;0
113;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.14.58;0.012637334279917;0.125260051563822
114;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.14.58;0.00299704262412717;0.716183279932005
115;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.14.58;-0.0263236171041267;0.00140411153716968
116;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.14.58;-0.0725030612566122;0
117;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.02.12.2011.14.58;-0.073170722673293;0
118;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.02.12.2011.14.58;-0.0628292393520327;2,36E+00
119;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.02.12.2011.14.58;-0.030275966824767;0.000239210673813495
120;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.02.12.2011.14.58;-0.0748016231963345;0
121;X;cvtd_timestamp.02.12.2011.14.59;0.225890854065989;0
122;user_name.adelmo;cvtd_timestamp.02.12.2011.14.59;-0.0839128546873858;0
123;user_name.carlitos;cvtd_timestamp.02.12.2011.14.59;-0.0747201122082685;0
124;user_name.charles;cvtd_timestamp.02.12.2011.14.59;0.363468000589574;0
125;user_name.eurico;cvtd_timestamp.02.12.2011.14.59;-0.0731599898481679;0
126;user_name.jeremy;cvtd_timestamp.02.12.2011.14.59;-0.0778071750510415;0
127;user_name.pedro;cvtd_timestamp.02.12.2011.14.59;-0.0668780351953905;4,44E-02
128;raw_timestamp_part_1;cvtd_timestamp.02.12.2011.14.59;0.00798055904259606;0.332986056935756
129;raw_timestamp_part_2;cvtd_timestamp.02.12.2011.14.59;-0.00247991160274368;0.763542421258894
130;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.02.12.2011.14.59;-0.0165513034492629;0.0446502928647782
131;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.02.12.2011.14.59;-0.0455872064660356;3,15E+06
132;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.02.12.2011.14.59;-0.0460070069313415;2,35E+06
133;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.02.12.2011.14.59;-0.0395046699656957;1,63E+08
134;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.02.12.2011.14.59;-0.0190363927629831;0.0209177519233684
135;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.02.12.2011.14.59;-0.0470324560307432;1,14E+06
136;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.02.12.2011.14.59;-0.0460316140961495;2,31E+06
137;X;cvtd_timestamp.05.12.2011.11.23;-0.161474107520478;0
138;user_name.adelmo;cvtd_timestamp.05.12.2011.11.23;-0.047986365463768;5,73E+05
139;user_name.carlitos;cvtd_timestamp.05.12.2011.11.23;0.221510687820292;0
140;user_name.charles;cvtd_timestamp.05.12.2011.11.23;-0.0455371681204822;3,26E+06
141;user_name.eurico;cvtd_timestamp.05.12.2011.11.23;-0.0418372372535609;3,83E+07
142;user_name.jeremy;cvtd_timestamp.05.12.2011.11.23;-0.0444947743896015;6,66E+06
143;user_name.pedro;cvtd_timestamp.05.12.2011.11.23;-0.0382448416317217;3,47E+08
144;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.11.23;0.121197222130271;0
145;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.11.23;0.00438288376960489;0.594948301678373
146;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.11.23;-0.00946502057613169;0.25088463582966
147;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.11.23;-0.0260694783665878;0.00156173932370396
148;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.11.23;-0.0263095452624773;0.00141244073163604
149;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.11.23;-0.0225911219152502;0.00612858128403238
150;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.11.23;-0.010886142577791;0.186631623717164
151;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.11.23;-0.0268959581003161;0.00110134281517404
152;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.11.23;-0.0263236171041267;0.00140411153716968
153;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.11.23;-0.0165513034492629;0.0446502928647782
154;X;cvtd_timestamp.05.12.2011.11.24;-0.198235803430148;0
155;user_name.adelmo;cvtd_timestamp.05.12.2011.11.24;-0.142987472432142;0
156;user_name.carlitos;cvtd_timestamp.05.12.2011.11.24;0.660046933374097;0
157;user_name.charles;cvtd_timestamp.05.12.2011.11.24;-0.135689471547528;0
158;user_name.eurico;cvtd_timestamp.05.12.2011.11.24;-0.124664594840953;0
159;user_name.jeremy;cvtd_timestamp.05.12.2011.11.24;-0.132583396656937;0
160;user_name.pedro;cvtd_timestamp.05.12.2011.11.24;-0.113960146504874;0
161;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.11.24;0.361185992070612;0
162;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.11.24;-0.00226187188523747;0.783790854830329
163;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.11.24;-0.0282034147745811;0.000621702530724577
164;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.11.24;-0.0776805824578924;0
165;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.11.24;-0.078395922290908;0
166;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.11.24;-0.0673159425776264;2,22E-02
167;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.11.24;-0.0324380060188043;8,28E+09
168;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.11.24;-0.0801432871657834;0
169;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.11.24;-0.0784378528903701;0
170;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.11.24;-0.049318780924436;2,15E+05
171;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.05.12.2011.11.24;-0.0282034147745811;0.000621702530724577
172;X;cvtd_timestamp.05.12.2011.11.25;0.236529457902097;0
173;user_name.adelmo;cvtd_timestamp.05.12.2011.11.25;-0.140252308017596;0
174;user_name.carlitos;cvtd_timestamp.05.12.2011.11.25;0.647421093827549;0
175;user_name.charles;cvtd_timestamp.05.12.2011.11.25;-0.133093908399985;0
176;user_name.eurico;cvtd_timestamp.05.12.2011.11.25;-0.12227992324866;0
177;user_name.jeremy;cvtd_timestamp.05.12.2011.11.25;-0.130047248683081;0
178;user_name.pedro;cvtd_timestamp.05.12.2011.11.25;-0.111780237089772;0
179;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.11.25;0.354358250150438;0
180;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.11.25;-0.00589611196149218;0.474455451781535
181;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.11.25;-0.02766392012412;0.000789407960687161
182;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.11.25;-0.0761946539270498;0
183;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.11.25;-0.0768963102392485;0
184;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.11.25;-0.066028276130083;1,11E-01
185;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.11.25;-0.0318175091442718;0.00011307254386228
186;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.11.25;-0.0786102502962452;0
187;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.11.25;-0.0769374387608672;0
188;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.11.25;-0.0483753767767944;4,31E+05
189;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.05.12.2011.11.25;-0.02766392012412;0.000789407960687161
190;cvtd_timestamp.05.12.2011.11.24;cvtd_timestamp.05.12.2011.11.25;-0.082431623605652;0
191;X;cvtd_timestamp.05.12.2011.14.22;-0.187031591709115;0
192;user_name.adelmo;cvtd_timestamp.05.12.2011.14.22;-0.0587661245703743;9,68E+01
193;user_name.carlitos;cvtd_timestamp.05.12.2011.14.22;-0.0523282331211588;2,12E+04
194;user_name.charles;cvtd_timestamp.05.12.2011.14.22;-0.0557667343314607;1,29E+03
195;user_name.eurico;cvtd_timestamp.05.12.2011.14.22;-0.0512356431324109;4,99E+04
196;user_name.jeremy;cvtd_timestamp.05.12.2011.14.22;-0.0544901750578362;3,72E+03
197;user_name.pedro;cvtd_timestamp.05.12.2011.14.22;0.303080426445648;0
198;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.14.22;0.154651106962418;0
199;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.14.22;-0.0103026554316978;0.211364528297211
200;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.14.22;-0.0115912629110885;0.159678428936186
201;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.14.22;-0.0319257813833038;0.000107141297896685
202;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.14.22;-0.0322197774168171;9,25E+09
203;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.14.22;-0.0276660395473899;0.000788673899529968
204;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.14.22;-0.0133316287790196;0.105813992573434
205;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.14.22;-0.0329379232806483;6,42E+09
206;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.14.22;-0.0322370103868766;9,17E+09
207;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.14.22;-0.020269423426866;0.013929167534079
208;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.05.12.2011.14.22;-0.0115912629110885;0.159678428936186
209;cvtd_timestamp.05.12.2011.11.24;cvtd_timestamp.05.12.2011.14.22;-0.0345390898005057;2,78E+09
210;cvtd_timestamp.05.12.2011.11.25;cvtd_timestamp.05.12.2011.14.22;-0.0338784019253636;3,94E+09
211;X;cvtd_timestamp.05.12.2011.14.23;-0.163486382749732;0
212;user_name.adelmo;cvtd_timestamp.05.12.2011.14.23;-0.135161159669938;0
213;user_name.carlitos;cvtd_timestamp.05.12.2011.14.23;-0.120354110873261;0
214;user_name.charles;cvtd_timestamp.05.12.2011.14.23;-0.128262609425932;0
215;user_name.eurico;cvtd_timestamp.05.12.2011.14.23;-0.117841171131147;0
216;user_name.jeremy;cvtd_timestamp.05.12.2011.14.23;-0.12532654323011;0
217;user_name.pedro;cvtd_timestamp.05.12.2011.14.23;0.69708020073021;0
218;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.14.23;0.355742544068173;0
219;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.14.23;-0.00718492269729957;0.383428826588564
220;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.14.23;-0.0266597218815357;0.0012181409734372
221;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.14.23;-0.0734287936576242;0
222;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.14.23;-0.0741049798978864;0
223;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.14.23;-0.0636314546184096;1,11E+00
224;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.14.23;-0.0306625359292418;0.000198853069487637
225;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.14.23;-0.0757567040583142;0
226;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.14.23;-0.0741446154572299;0
227;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.14.23;-0.0466193541984449;1,53E+06
228;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.05.12.2011.14.23;-0.0266597218815357;0.0012181409734372
229;cvtd_timestamp.05.12.2011.11.24;cvtd_timestamp.05.12.2011.14.23;-0.0794393618008618;0
230;cvtd_timestamp.05.12.2011.11.25;cvtd_timestamp.05.12.2011.14.23;-0.0779197901082086;0
231;cvtd_timestamp.05.12.2011.14.22;cvtd_timestamp.05.12.2011.14.23;-0.0326486184556899;7,45E+09
232;X;cvtd_timestamp.05.12.2011.14.24;0.25504708588576;0
233;user_name.adelmo;cvtd_timestamp.05.12.2011.14.24;-0.113164793255495;0
234;user_name.carlitos;cvtd_timestamp.05.12.2011.14.24;-0.100767469794436;0
235;user_name.charles;cvtd_timestamp.05.12.2011.14.24;-0.107388925291414;0
236;user_name.eurico;cvtd_timestamp.05.12.2011.14.24;-0.0986634903148705;0
237;user_name.jeremy;cvtd_timestamp.05.12.2011.14.24;-0.104930679706322;0
238;user_name.pedro;cvtd_timestamp.05.12.2011.14.24;0.583636134750318;0
239;raw_timestamp_part_1;cvtd_timestamp.05.12.2011.14.24;0.297905010757157;0
240;raw_timestamp_part_2;cvtd_timestamp.05.12.2011.14.24;0.0118989933579828;0.148883116530968
241;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.05.12.2011.14.24;-0.0223210715440761;0.00676798523045963
242;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.05.12.2011.14.24;-0.061478861779207;8,34E+00
243;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.05.12.2011.14.24;-0.0620450042736066;4,93E-01
244;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.05.12.2011.14.24;-0.0532759590404751;9,97E+03
245;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.05.12.2011.14.24;-0.0256724605470635;0.00184085697171554
246;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.05.12.2011.14.24;-0.0634279239199485;1,33E+00
247;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.05.12.2011.14.24;-0.0620781894718516;4,77E+00
248;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.05.12.2011.14.24;-0.0390324379611334;2,17E+08
249;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.05.12.2011.14.24;-0.0223210715440761;0.00676798523045963
250;cvtd_timestamp.05.12.2011.11.24;cvtd_timestamp.05.12.2011.14.24;-0.0665112594216847;6,66E-02
251;cvtd_timestamp.05.12.2011.11.25;cvtd_timestamp.05.12.2011.14.24;-0.0652389855165485;2,33E-01
252;cvtd_timestamp.05.12.2011.14.22;cvtd_timestamp.05.12.2011.14.24;-0.0273353244869905;0.000911204623375905
253;cvtd_timestamp.05.12.2011.14.23;cvtd_timestamp.05.12.2011.14.24;-0.0628708151954311;2,26E+00
254;X;cvtd_timestamp.28.11.2011.14.13;-0.254068456611768;0
255;user_name.adelmo;cvtd_timestamp.28.11.2011.14.13;-0.102825485340839;0
256;user_name.carlitos;cvtd_timestamp.28.11.2011.14.13;-0.0915608440585217;0
257;user_name.charles;cvtd_timestamp.28.11.2011.14.13;-0.0975773298890778;0
258;user_name.eurico;cvtd_timestamp.28.11.2011.14.13;0.48477640676628;0
259;user_name.jeremy;cvtd_timestamp.28.11.2011.14.13;-0.0953436820547783;0
260;user_name.pedro;cvtd_timestamp.28.11.2011.14.13;-0.0819512868824073;0
261;raw_timestamp_part_1;cvtd_timestamp.28.11.2011.14.13;-0.343694952598496;0
262;raw_timestamp_part_2;cvtd_timestamp.28.11.2011.14.13;0.0106922840630281;0.194599911508402
263;cvtd_timestamp.02.12.2011.13.32;cvtd_timestamp.28.11.2011.14.13;-0.0202817055448096;0.0138714472767254
264;cvtd_timestamp.02.12.2011.13.33;cvtd_timestamp.28.11.2011.14.13;-0.0558618419986583;1,19E+03
265;cvtd_timestamp.02.12.2011.13.34;cvtd_timestamp.28.11.2011.14.13;-0.0563762588511442;7,68E+02
266;cvtd_timestamp.02.12.2011.13.35;cvtd_timestamp.28.11.2011.14.13;-0.0484083979455288;4,21E+05
267;cvtd_timestamp.02.12.2011.14.56;cvtd_timestamp.28.11.2011.14.13;-0.0233268946967051;0.00465317962168355
268;cvtd_timestamp.02.12.2011.14.57;cvtd_timestamp.28.11.2011.14.13;-0.0576328279636017;2,61E+02
269;cvtd_timestamp.02.12.2011.14.58;cvtd_timestamp.28.11.2011.14.13;-0.0564064120818223;7,49E+02
270;cvtd_timestamp.02.12.2011.14.59;cvtd_timestamp.28.11.2011.14.13;-0.0354662369976524;1,68E+09
271;cvtd_timestamp.05.12.2011.11.23;cvtd_timestamp.28.11.2011.14.13;-0.0202817055448096;0.0138714472767254
272;cvtd_timestamp.05.12.2011.11.24;cvtd_timestamp.28.11.2011.14.13;-0.0604344543379711;2,17E+01
273;cvtd_timestamp.05.12.2011.11.25;cvtd_timestamp.28.11.2011.14.13;-0.0592784218121418;6,14E+01
274;cvtd_timestamp.05.12.2011.14.22;cvtd_timestamp.28.11.2011.14.13;-0.0248378309760896;0.00258270866374799
275;cvtd_timestamp.05.12.2011.14.23;cvtd_timestamp.28.11.2011.14.13;-0.0571266195100875;4,05E+02
276;cvtd_timestamp.05.12.2011.14.24;cvtd_timestamp.28.11.2011.14.13;-0.0478297323138626;6,42E+05
277;X;cvtd_timestamp.28.11.2011.14.14;0.00348649607289968;0.672339570042911
278;user_name.adelmo;cvtd_timestamp.28.11.2011.14.14;-0.142238947053686;0
279;user_name.carlitos;cvtd_timestamp.28.11.2011.14.14;-0.12665651912132;0
280;user_name.charles;cvtd_timestamp.28.11.2011.14.14;-0.134979150487124;0
281;user_name.eurico;cvtd_timestamp.28.11.2011.14.14;0.670593340029869;0
282;user_name.jeremy;cvtd_timestamp.28.11.2011.14.14;-0.131889335593605;0
283;user_name.pedro;cvtd_timestamp.28.11.2011.14.14;-0.113363576327498;0
284;raw_timestamp_part_1;cvtd_timestamp.28.11.2011.14.14;-0.475368426885112;0
285;raw_timestamp_part_2;cvtd_timestamp.28.11.2011.14.14;-0.00871920377220514;0.290181029258828
